Company Name,Job Title,Location,Country,Job Category,Job Type,Location Type,Description,Salary,Years of Experience,Date Posted,Application Link,Website Link,Job_Board,Job_Board_Link
Padaria Belas Artes,Gerente Administrativo,Cotia,Brasil,Restaurants,Full-time,On-site,"Rotina: Fechamento de folhas de pagamentos, controle de pontos, apontamentos de faltas, horas extras, freelancers, etc. Supervisão da loja em tais questões: cadastro de produtos, validades, uniformes de funcionários, necessidade de colaboradores. Sanar todas as duvidas dos colaboradores em questões de holerites, rescisão, pagamentos, etc. Homologações. Fechamento de caixa diariamente, controle e conferência de notas fiscais e boletos bancários. Experiência no ramo alimentício Diferencial: Curso ensino superior, excel intermediário e experiência com fechamento e caixa.",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/gerente-administrativo-at-padaria-belas-artes-3605342280?refId=%2BYy1LwJ%2F2ModQcwE9Rkhzg%3D%3D&trackingId=70hDEM%2BIrWO00II3zOmShQ%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card,http://www.padariabelasartes.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Confidencial,"RECEPCIONISTA- EUCLIDES DA CUNHA, BA",Euclides da Cunha,Brasil,Human Resources Services,Full-time,On-site,"Recepção, identificação e controle de acesso dos visitantes na instituição; Orientação e encaminhamento dos usuários aos lugares desejados; Realização do atendimento em estrita observância às normas internas de segurança, conferindo e registrando documentos, verificando a idoneidade dos visitantes e notificando à área de segurança sobre presenças estranhas, dentre outras atividades correlatas. Ensino médio completo; Desejável nível superior em curso; Conhecimento básico em pacote office, incluindo Excel; Experiência como recepcionista e/ou atendimento ao publico.",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/recepcionista-euclides-da-cunha-ba-at-confidencial-3605335065?refId=%2BYy1LwJ%2F2ModQcwE9Rkhzg%3D%3D&trackingId=9M37O5F0VpvpS8W%2BzXX0EQ%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card,http://www.econfidencial.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Brasilcaffe,Abastecedor(a) de Máquinas de café e Snacks,Greater São Paulo Area,Unknown,Sugar and Confectionery Product Manufacturing,Full-time,On-site,"Abastecedor máquinas de vending machine (Maquinas de cafe e snacks) em rotas previamente estabelecidas. trata-se de visitas diarias a empresas pre selecionadas para limpeza e abastecimento das máquinas de café e snacks. Não necessita experiencia, basta ter algum conhecimento das ruas de SP e boa vontade para trabalhar. Organização e limpeza",Salary not mentioned,No Experience mentioned,11/05/2023,https://br.linkedin.com/jobs/view/abastecedor-a-de-m%C3%A1quinas-de-caf%C3%A9-e-snacks-at-brasilcaffe-3605318331?refId=%2BYy1LwJ%2F2ModQcwE9Rkhzg%3D%3D&trackingId=CW7RKoa9WurmPGjhpM8b9w%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card,http://www.brasilcaffe.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Afya,AFYA SP | Analista de Inovação,São Paulo,Brasil,Higher Education,Full-time,On-site,"Job Description

Somos o futuro da Saúde e Educação!

A Afya é o maior ecossistema de educação em saúde e healthtechs do Brasil. Nascemos do sonho de democratizar o acesso à saúde a todas as pessoas do país.

Acompanhamos os profissionais de saúde em toda a sua jornada. Somos o único grupo do país parceiro de longo prazo do médico, com entrega de valor em todas as etapas acadêmicas, no exercício da profissão e no seu relacionamento com o mercado de saúde.

Nosso propósito é revolucionar o jeito de ensinar, aprender e aplicar a medicina para formar os melhores profissionais médicos em todas as fases de sua trajetória, combinando educação e saúde para potencializar a formação, atualização, assertividade e produtividade.

Queremos nos tornar referência na jornada médica, capacitando nossos clientes para transformarem seus sonhos em experiências extraordinárias ao longo da vida.

Desde a nossa existência, apoiamos milhares de vidas, impactando positivamente ponta a ponta do clico médico e ajudando a transformar a saúde no Brasil. 🚀

Todas as nossas oportunidades são extensivas à pessoas com deficiência e reabilitadas do INSS

Para todas as oportunidades afirmativas para Pessoas com Deficiência - PCD, estimulamos a contratação desse público, mas estamos abertos a contratação de membros de diferentes grupos.

Responsibilities And Assignments

💻🩺 Como será seu dia-dia?

Suas Principais Responsabilidades São

Profissional responsável por fomentar a cultura de inovação na Afya e buscar a eficiência operacional por meio da inovação aberta.
Promover a cultura de inovação na Afya, identificando as dores e oportunidades das áreas de negócio e estimulando a geração de ideias e soluções;
Conectar-se com o ecossistema de inovação, buscando e selecionando startups, universidades e hubs de inovação que possam oferecer soluções de base tecnológica para os desafios da Afya;
Conduzir testes pilotos com as soluções selecionadas, em parceria com as áreas de negócio da Afya, para validar a viabilidade e o impacto das inovações;
Construir business cases de inovação para a Afya, apresentando os resultados dos testes pilotos e as recomendações para a implementação das soluções.
Fomentar a cultura de inovação e criatividade na Afya promovendo a diversidade de pensamentos, a colaboração entre os colaboradores e mindset de crescimento, bem como por meio da criação de conteúdo, promoção de eventos, palestras e workshops.
Estruturar relatórios a fim de que se possa acompanhar o andamento dos projetos e KPIs da área.
Requirements And Qualifications

🔎 Buscamos as seguintes Skills ( mas não esperamos que uma única pessoa possua todos eles ):
Ensino superior ou graduação tecnológica completos;
Experiência de 3 anos em áreas de inovação e/ou em outros agentes de inovação (consultorias e aceleradoras, por exemplo).
Conhecimentos Técnicos
Inovação aberta - Avançado
Pacote Office - Avançado
Análise e seleção de negócios de base tecnológica - Avançado
Gerenciamento de projetos e processos - Avançado
Vivência em inovação corporativa - Avançado
Inglês – Avançado
Análise de dados e lógica - Intermediário
Design Thinking - Intermediário
Metodologias ágeis - Intermediário
Gestão de métricas de resultados (OKR) - Intermediário
Modelos e metodologias de desenvolvimento de empresas de base tecnológica em diferentes estágios de maturação - Intermediário
Diferencial: Experiência prévia em facilitação de treinamentos e workshops
Additional Information

Além de transformar a saúde no Brasil, você ganha uma lista de benefícios:

🌞Para o Dia a Dia
Vale alimentação / refeição;
Flexibilidade de horários e locações ( para vagas remotas );
Vale Transporte ( para vagas Hibridas ou Presencial )
💰 UP Na Remuneração
PLR;
Tech Coins (Créditos via Cartão Flash que pode ser utilizado como quiser);
👩‍👩‍👧‍👦Família, Saúde e Bem-estar
Gympass;
Assistência Médica e Odontológica;
Seguro de Vida;
Day Off de Aniversário (Um dia de folga para tirar no dia ou durante o mês do seu aniversário.);
📖 Desenvolvimento e Aprendizado
Plataformas com +40 Cursos voltados para o nicho de negócio (UCA)
Academia de idiomas (AIA).
TRANSFORMAR A SAÚDE NO BRASIL

SEJA BEM-VINDO(A) À AFYA 💖

Somos o futuro da Saúde e Educação!

A Afya é o maior ecossistema de educação em saúde e healthtechs do Brasil. Nascemos do sonho de democratizar o acesso à saúde a todas as pessoas do país.

Acompanhamos os profissionais de saúde em toda a sua jornada. Somos o único grupo do país parceiro de longo prazo do médico, com entrega de valor em todas as etapas acadêmicas, no exercício da profissão e no seu relacionamento com o mercado de saúde.

Temos orgulho de nossa liderança na formação médica de alta qualidade, na oferta de serviços digitais e na geração de impacto social através da promoção da saúde e prevenção de doenças nas comunidades no entorno das nossas operações.

Nosso propósito é revolucionar o jeito de ensinar, aprender e aplicar a medicina para formar os melhores profissionais médicos em todas as fases de sua trajetória, combinando educação e saúde para potencializar a formação, atualização, assertividade e produtividade.

Queremos nos torna-se referência na jornada médica, capacitando nossos clientes para transformarem seus sonhos em experiências extraordinárias ao longo da vida.

Desde a nossa existência, apoiamos milhares de vidas, impactando positivamente ponta a ponta do clico médico e ajudando a transformar a saúde no Brasil. 🚀

🩺 Ecossistema

O nosso ecossistema Afya está presente em todo Brasil e já conta com +30 instituições e +10 healthtechs, como a PEBMED , iClinic , Medcel , CliqueFarma , Glic , Cardiopapers , Além da Medicinae muito mais . Contamos com mais de 265 mil médicos no ecossistema, representando mais de 40% dos médicos do Brasil.

🔍 Curiosidade

Você sabia que a Afya está na bolsa de valores?!

Em 19 de julho de 2019, fizemos uma oferta pública de ações (IPO) na Nasdaq - bolsa de valores norte-americana, que tem como principal característica reunir empresas especializadas em alta tecnologia. A Afya se destacou como a primeira empresa especializada em educação médica, em termos globais, a negociar ações.

🚀 Como atingimos nossos objetivos?

Montando um time de pessoas incríveis e diversas, capazes de colocar os nossos clientes no centro do processo de criação e desenvolvimento do nosso sistema. Por aqui somos encantados e comprometidos com nosso propósito, buscamos entregar o melhor com brilho nos olhos, afinal, estamos ajudando a transformar vidas. Somos colaborativos, temos pensamento digital e buscamos inovação, agindo como donos do negócio e trazemos excelência em nossa execução.

💡 Diversidade

A diversidade faz parte do nosso DNA, acreditamos que a diversidade contribui com diferentes visões de mundo, tornando nosso ambiente mais dinâmico e criativo!

Sem padrões, não temos espaço para o preconceito: acreditamos em pessoas e seus poderes e potenciais, independentemente das diferenças que apresentam. Por isso, lutamos por um ambiente mais justo, no qual a acessibilidade e a inclusão sejam propósitos diários.

A Afya quer garantir um espaço diverso e igualitário para todo mundo. Aqui temos um espaço de respeito, empatia, acolhimento e bastante debate, contando com grupos de afinidade para nos ajudar a ter uma cultura e ambiente mais inclusivo e representativo. Trabalhamos diariamente por um ambiente mais acessível e inclusivo para todos.

💻 Desenvolvimento e Oportunidades de Carreiras

Aqui, a oportunidade de crescer é constante e para todos. Na Afya, temos o Ciclo de Gente composto por avaliações frequentes e estruturadas com base nas nossas competências, visando uma cultura de feedback contínuo, com planos de desenvolvimento individuais, oportunidades de reconhecimento e progressão na carreira.

Realizamos ainda programas de desenvolvimento da liderança, programa de trainee, cursos de linguagens e uma universidade corporativa contando com uma plataforma acessível e democratizado a todos com mais de 70 conteúdos disponíveis fortalecendo a gestão do conhecimento interno, entre outras iniciativas.

Gente é tudo pra gente! 😍",Salary not mentioned,No Experience mentioned,11/05/2023,https://br.linkedin.com/jobs/view/afya-sp-analista-de-inova%C3%A7%C3%A3o-at-afya-3605305950?refId=%2BYy1LwJ%2F2ModQcwE9Rkhzg%3D%3D&trackingId=W8qR03PRhiSkNqJP1D0NIA%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card,http://www.afyamedicina.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Confidencial,Ajudante Expedição/ Almoxarifado,Vinhedo,Brasil,Book Publishing,Full-time,On-site,"Arquear todos os materiais da Expedição utilizando fitas e aplicação de stretch, para que os mesmos cheguem em perfeitas condições ao destino. Auxílio na montagem e desmontagem de rolaria do Almoxarifado. Auxílio no inventário rotativo e organização de prateleiras do almoxarifado. Auxílio aos Almoxarifes na entrega de matéria-prima e baixa de requisições no sistema integrado. Auxilio na identificação e armazenagem de matéria- prima. Auxílio no Recebimento e identificação de material recebido. Movimentação de materiais utilizando a paleteira. Utilizar a empilhadeira para carregar todos os caminhões com os materiais liberados. Abastecer as máquinas da produção utilizando a empilhadeira, visando suprir as necessidades de materiais da produção. Manter a área de trabalho limpa e organizada. Exercer todas as funções que lhe forem atribuídas com maior desempenho e seriedade. Ensino Médio completo. Curso de Operador de Empilhadeira.",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/ajudante-expedi%C3%A7%C3%A3o-almoxarifado-at-confidencial-3605346052?refId=%2BYy1LwJ%2F2ModQcwE9Rkhzg%3D%3D&trackingId=lZtUdVAvCEXkPCUKPBXiMg%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card,http://www.econfidencial.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Confidencial,Copeiro (a),Aracaju,Brasil,Utility System Construction,Full-time,On-site,"* Preparar e servir café, chá e água; * Lavar e esterilizar copos, xícaras, pires, talheres e demais utensílios utilizados na copa; * Limpar a parte interna e externa dos armários da copa; * Limpar a máquina de fazer café, o refrigerador e o bebedouro, quando houver; * Realizar outros serviços correlatos; *Prestar os serviços em rigorosa higiene. Ensino Fundamental Completo",Salary not mentioned,No Experience mentioned,11/05/2023,https://br.linkedin.com/jobs/view/copeiro-a-at-confidencial-3605332611?refId=%2BYy1LwJ%2F2ModQcwE9Rkhzg%3D%3D&trackingId=myAxs6YEpYSB8mQaSmguhA%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card,http://www.econfidencial.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
BearingPoint,Directeur / Directrice Marketing & Communication,Paris,France,Business Consulting and Services,Full-time,On-site,"BearingPoint est le premier cabinet européen indépendant de conseil en Management et Technologie. A Paris, nos 1000 collaborateurs accompagnent les grandes entreprises et organisations de tous secteurs dans leurs enjeux de transformation et d’innovation.

Membre du CODIR et rattaché directement la Direction générale, vous aurez en charge l’élaboration et le pilotage de la stratégie de Marketing et Communication et marketing de BearingPoint pour la Région France/Belgique/Luxembourg/Afrique.

Vous serez garant du positionnement de la société, de la promotion de son identité et de son image de marque et en diffuserez le contenu auprès de toutes les équipes et en suivrez la bonne exécution opérationnelle.
Vous aurez en charge une équipe pluridisciplinaire de 8 collaborateurs, et aurez comme enjeu essentiel de la positionner en tant que Business Partners des équipes opérationnelles de consultants.

Vos missions :

Elaborer les orientations stratégiques de communication et marketing
Conseil et accompagnement de la Direction Générale dans le cadre de sa réflexion stratégique
Définition du plan de communication annuel vers nos différentes cibles (communication externe et interne, institutionnelle, web…)
Elaboration de la stratégie événementielle et de relations publiques
Rôle de conseil sur l’évolution de l’identité et du positionnement de notre marque employeur tant en interne qu’en externe
Définition de la stratégie média et éditoriale
Définition et suivi du budget annuel
Piloter le déploiement des actions de communication et marketing
Coordination des campagnes de communication
Appui à la création et à la production de supports
Développement des moyens, réseaux, actions et outils innovants permettant d’assurer la visibilité de l’entreprise
Accompagnement des changements organisationnels
Participation aux projets transversaux Corporate (RSE, campagne marque employeur/EVP…)
Pilotage de l’organisation des événements internes et externes
Pilotage des différents prestataires et intervenants extérieurs
Votre profil
De formation supérieure avec une spécialisation en marketing, vous bénéficiez d'au moins 5 ans d'expérience en tant que Directeur Marketing et Communication en B2B, acquise avec idéalement une connaissance des sujets technologiques
Vous avez une appétence pour les enjeux multiculturels / internationaux
Vous maîtrisez l’anglais professionnel (écrit et oral) permettant de travailler dans un environnement international
Reconnu par votre agilité, votre créativité et par votre réactivité, vous bénéficiez d'un excellent sens du business et du contact

La société BearingPoint s’engage à respecter la loi n° 2004-1486 du 30 décembre 2004 contre les discriminations et pour l’égalité des chances. Les informations demandées au candidat concernent uniquement sa capacité à occuper l'emploi proposé et ses aptitudes professionnelles.",Salary not mentioned,No Experience mentioned,12/05/2023,https://fr.linkedin.com/jobs/view/directeur-directrice-marketing-communication-at-bearingpoint-3605311425?refId=%2BYy1LwJ%2F2ModQcwE9Rkhzg%3D%3D&trackingId=dLjdrflyQ2AHH1435KnMkA%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card,http://www.bearingpoint.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Confidencial,Auxiliar Administrativo de RH (CLT Intermitente,Greater São Paulo Area,Unknown,Strategic Management Services,Full-time,On-site,"Principais atividades: - Atividades de recepção, atendimento presencial e telefônico a clientes, rotinas administrativas, controle e logística sala de aula, organização de compras para Coffee-Break, controle de planilhas de estoque - Atuar na aplicação de exames de certificação técnica na unidade (receberá treinamento especifico para a função) - Recrutamento e Seleção de profissionais de TI. Condução de processos de Recrutamento e Seleção do início ao fim. Desejável e diferencial: Inglês para conversação intermediário, fluente ou avançado É necessário: responsável, dinâmica, proativa, comprometida, pontual em relação a horários, ter boa comunicação, excelente relacionamento interpessoal, facilidade para trabalhar em equipe",Salary not mentioned,No Experience mentioned,11/05/2023,https://br.linkedin.com/jobs/view/auxiliar-administrativo-de-rh-clt-intermitente-at-confidencial-3605334410?refId=6Zb1Glb2%2BIRboP0TC0yDVg%3D%3D&trackingId=Trb7459b9%2BqjRt4uDzQGKw%3D%3D&position=1&pageNum=4&trk=public_jobs_jserp-result_search-card,http://www.econfidencial.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Cacau Show,Operador de loja/vendedor,Greater São Paulo Area,Unknown,Sugar and Confectionery Product Manufacturing,Full-time,On-site,"Recepção e atendimento as necessidades de clientes; Realizar vendas de produtos; Orientar os clientes na escolha de produtos para presentes, da cafeteria e da sorveteria; Realizar atendimento telefônico e responder às dúvidas e recepção de clientes; Preparar Bebidas da Cafeteria e da Sorveteria; Cadastrar informações de clientes em sistema interno; Manter a organização e limpeza da loja; Auxiliar na reposição de produtos nas prateleiras e organização e limpeza do estoque; Ensino médio completo; Experiência em atendimento ao cliente; Conhecimento básico em informática; Boa comunicação e habilidades interpessoais; Muita vontade de aprender sempre;Disponibilidade para trabalhar em horários flexíveis, incluindo sábados, além de pontualmente domingos e feriados.",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/operador-de-loja-vendedor-at-cacau-show-3605344186?refId=6Zb1Glb2%2BIRboP0TC0yDVg%3D%3D&trackingId=Rhr5rouOLYgSFDjti7BvLw%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card,http://www.cacaushow.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Schneider Electric,Marketing Communications Head Chile,Providencia,Chile,"Appliances, Electrical, and Electronics Manufacturing",Full-time,On-site,"We are seeking an experienced and dynamic Marketing Communications (Marcom) Head to join our team. As the Marcom Head, you will be responsible for developing and implementing strategic marketing plans that drive brand awareness, customer engagement, and revenue growth. You will work closely with cross-functional teams, including product, sales, and creative, to develop and execute marketing initiatives across multiple channels.
Key Responsibilities:
Develop and execute strategic marketing plans to drive brand awareness, customer engagement, and revenue growth
Work collaboratively with cross-functional teams to ensure marketing initiatives align with overall business objectives
Develop and manage the marketing budget, ensuring effective allocation of resources
Develop and execute content marketing strategies, including website content, thought leadership, and social media
Plan and execute digital marketing campaigns, including SEO, SEM, PPC, and email marketing
Develop and execute event marketing strategies, including trade shows, sponsorships, and webinars
Develop and execute public relations strategies, including media relations, thought leadership, and crisis communications
Monitor and analyze marketing performance metrics, making data-driven recommendations for continuous improvement
Stay current with industry trends and best practices, and apply them to marketing strategies and tactics
Qualifications:
Bachelor's degree in marketing, communications, or a related field; MBA preferred
Minimum 8-10 years of experience in marketing communications, with at least 3 years in a management role
Proven track record of developing and executing successful marketing campaigns that drive revenue growth
Strong understanding of digital marketing channels, including SEO, SEM, PPC, and email marketing
Experience with event marketing, including trade shows, sponsorships, and webinars
Experience with public relations, including media relations, thought leadership, and crisis communications
Excellent written and verbal communication skills, with the ability to communicate effectively with internal and external stakeholders
Strong analytical skills, with the ability to analyze data and make data-driven recommendations for continuous improvement
Ability to work collaboratively with cross-functional teams, and to manage multiple projects and priorities simultaneously
Advanced English",Salary not mentioned,10,12/05/2023,https://cl.linkedin.com/jobs/view/marketing-communications-head-chile-at-schneider-electric-3603584047?refId=6Zb1Glb2%2BIRboP0TC0yDVg%3D%3D&trackingId=u9ZS%2BuiTciPtUOBvsIxqPg%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card,http://www.schneiderelectric.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Escola SAGA,Agente de Atendimento - Tatuapé,São Paulo,Brasil,Professional Training and Coaching,Full-time,On-site,"Responsável por atender e acompanhar o processo de relacionamento, presencial ou online, identificando as necessidades e prestando orientações de acordo com a necessidade para satisfação dos clientes. Compreende a jornada do aluno, identificando pontos relevantes no processo de relacionamento com os clientes.

Requisitos

Estudos

Ensino Médio (2º Grau)

Benefícios

Bolsa Saga

Plano de Saúde

Seguro de Vida

Vale Transporte

Vale Combustível

Vale Alimentção",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/agente-de-atendimento-tatuap%C3%A9-at-escola-saga-3603579457?refId=6Zb1Glb2%2BIRboP0TC0yDVg%3D%3D&trackingId=etIwX%2FrhkTsnx0IwYqGsuQ%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card,http://www.escolasaga.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Seconci,HRC - Controlador de Acesso,Cotia,Brasil,Nursing Homes and Residential Care Facilities,Full-time,On-site,"Somos mais de 12 mil colaboradores e convivemos em uma instituição que valoriza o trabalhador e a diversidade. Ética, respeito e excelência na gestão fazem parte da missão do Seconci-SP. Temos como princípio oferecer um atendimento humanizado e de qualidade, pois trabalhamos com um bem extremamente precioso: a Saúde.Venha trabalhar conosco e fazer parte de uma equipe que tem o compromisso de salvar vidas e construir o Brasil. Controlar o acesso de pessoas, recebendo e orientando o públicoidentificar colaboradores, clientes, fornecedores e/ou visitantesreceber correspondênciaszelar pela ordem dentro das dependências da instituiçãoregistrar ocorrências. Ensino médio completoExperiência de 06 meses no cargo",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/hrc-controlador-de-acesso-at-seconci-3605330659?refId=6Zb1Glb2%2BIRboP0TC0yDVg%3D%3D&trackingId=GJF%2B577%2BeytPYq8PjJv61w%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card,http://www.seconci.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Confidencial,Diretor(a) Pedagógico,São Bernardo do Campo,Brasil,Secretarial Schools,Full-time,On-site,"Coordenar, planejar e acompanhar junto com a equipe pedagógica os planos de ensino e processos pedagógicos. Administrar o cotidiano escolar, desenvolver os calendários, participar do planejamento, execução das reuniões pedagógicas, conselhos de classe e reuniões de pais. Formação em Pedagogia. Desejável: Especialização em Gestão Escolar, Psicopedagogia e/ou similar. Conhecimento em sistemas e aplicativos de comunicação escolar.",Salary not mentioned,No Experience mentioned,11/05/2023,https://br.linkedin.com/jobs/view/diretor-a-pedag%C3%B3gico-at-confidencial-3605334012?refId=6Zb1Glb2%2BIRboP0TC0yDVg%3D%3D&trackingId=NjmGYzIH0owngiVlAz6xug%3D%3D&position=24&pageNum=4&trk=public_jobs_jserp-result_search-card,http://www.econfidencial.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Gazin,CAIXA - FILIAL 220,Douradina,Brasil,Reupholstery and Furniture Repair,Full-time,On-site,"Responsável por fazer a abertura e o fechamento de caixa, processar e receber o pagamento e emitir notas fiscais. Além das tarefas administrativas, atua diretamente no atendimento ao cliente. Gerar o fundo de reserva para servir de troco na operação de compra e recebimento dos clientes Realizar atendimento ao cliente Auxiliar na conferência de estoque Gerir, conferir, organizar e realizar o fechamento do caixa Manter a limpeza e abastecimento de produtos do local Auxiliar na organização do layout da loja Auxiliar no processo de venda Realizar a emissão de NF Organizar documentos gerais e pagamentos da loja Gerir processos e realizar tarefas de controle administrativo geral Outras atividades afins.",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/caixa-filial-220-at-gazin-3605342394?refId=6Zb1Glb2%2BIRboP0TC0yDVg%3D%3D&trackingId=0zFPn%2ByQwrs065nbdXCztQ%3D%3D&position=25&pageNum=4&trk=public_jobs_jserp-result_search-card,http://www.gazin.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Confidencial,Analista Financeiro - Contas a Pagar,Rio de Janeiro,Brasil,Online Audio and Video Media,Full-time,On-site,"Envio e retorno de arquivos e instruções bancárias; Envio de segunda via de boletos bancários; Envio de segunda via de notas fiscais; Verificar prorrogação de vencimento; Realizar o cancelamento de notas fiscais no contas a receber; Realizar lançamentos relacionados ao contas a receber, fazendo a identificação, validando a classificação e baixa de recebimentos; Garantir o recebimento dos benefícios dos Programas de Canais dos Fornecedores; Verificar discrepâncias, na conciliação de retornos e pagamentos, além de resolver os problemas de faturamento dos clientes (BOLETOS COM PROBLEMAS); Realizar conciliação bancária, com o alinhamento do saldo bancário entre o banco e o sistema ERP; Controle e baixas de devoluções, controle de créditos pendentes não identificados; Realiza cobrança de débitos em aberto, com a negociação e recuperação junto aos inadimplentes; Realiza os procedimentos de restrição e baixa de restrição de crédito para clientes inadimplentes; Realizar o Envio de Mensagem de Texto, Mensagem de Voz, E-mail e WhatsApp para alimentar a Régua de Cobrança; Controla o Fluxo de demanda do Canal de Serviços para Clientes Inadimplentes em Contratos; Estruturação e acompanhamento da régua de cobrança; Desenvolver relatório de Aging, com análise e acompanhamento. Experiência na função. Superior completo ou cursando em Administração, Ciências Contábeis ou áreas correlatas.",Salary not mentioned,No Experience mentioned,21/04/2023,https://br.linkedin.com/jobs/view/analista-financeiro-contas-a-pagar-at-confidencial-3605316748?refId=qOv8suUUqSgbiJvQR6Dasw%3D%3D&trackingId=HNmPcdgl12%2FJhXZiroe4tA%3D%3D&position=1&pageNum=5&trk=public_jobs_jserp-result_search-card,http://www.econfidencial.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
